ISIN;PAYS_RISQUE;CATEG_ISSUER;RATING;NIV_SENIORITE;ISSUER;NIV_SUBORDINATION;CATEGORIE_1;CATEGORIE_2;CATEGORIE_3;MATURITE;MATURITE_CALL;NAME;CPN;FRQ;ISSUER_DATE;INDICE;DATE_ACHAT;YIELD_ACHAT;SUB_DATE_RBST;SUBORD;BASE_INDICE;FLOATER;MONETAIRE
DE000A2AA1F8;Allemagne;Finance;8;;Deutsche Bank;;poche_obligations;Obligations_credit;Obligations_credit;08/09/2021;08/09/2021;DB 1.25 09/08/21;1.25;1;;;;;;;0;0;0
XS0882849507;USA;Finance;8;;Goldman Sachs;;poche_obligations;Obligations_credit;Obligations_credit;01/02/2023;;GS 3.25 02/01/23;3.25;1;01/02/2013;;;;;;;0;0
DE0001102366;Allemagne;poche_obligation;1;;;;poche_obligations;Obligations_govies;Obligations_govies_nominales;15/08/2025;;DBR 08/15/2024;1;1;12/09/2014;;;;;;;0;0
XS1115479559;Suisse;Finance;6;;Crédit Suisse;;poche_obligations;Obligations_credit;Obligations_credit;31/01/2022;;Crédit Suisse 1.375%  31/01/2022;1.375;1;30/09/2014;;25/05/2016;0.757399976;;;0;0;0
DE0001102390;Allemagne;poche_obligation;1;;;;poche_obligations;Obligations_govies;Obligations_govies_nominales;15/02/2026;;DBR 0.5 02/15/2026;0.5;1;15/01/2016;;30/05/2016;0.171000004;;;0;0;0
XS1169630602;France;Finance;6;;Crédit Agricole;;poche_obligations;Obligations_credit;Obligations_credit;19/01/2022;;CREDIT AGRICOLE  0.875 01/2022;0.875;1;19/01/2015;;;;;;0;0;0
XS1110299036;Finlande;Finance;8;;Sampo;;poche_obligations;Obligations_credit;Obligations_credit;16/09/2021;;SAMAFH 1.5 09/2021;1.5;1;16/09/2014;;;;;;0;0;0
XS1385051112;UK;Corporate;9;;Barclays;NS;poche_obligations;Obligations_credit;Obligations_credit;23/03/2021;08/09/2021;Barclays 1.875% 03/2021;1.875;1;23/03/2016;;30/03/2006;1.419999957;26/05/2021;;0;0;0
A10075;;;;;;;Alternatif;private;private;;;FASO 4;;;;;;;;;;0;0
A10080;;;;;;;poche_obligations;poche_fct;poche_fct;;;;;;;;;;;;0;0;0
DE0001102374;Allemagne;poche_obligation;1;;;;poche_obligations;Obligations_govies;Obligations_govies_nominales;15/02/2025;;DBR 0.5 02/2025;0.5;1;16/01/2015;;;;;;0;0;0
XS0874864860;Espagne;Corporate;10;;Telefonica;NS;poche_obligations;Obligations_credit;Obligations_credit;23/01/2023;08/09/2021;TELEFO 3.987 01//23;3.987;1;22/01/2013;;12/09/2016;0.488000005;26/05/2021;;0;0;0
XS1292384960;USA;Corporate;2;;Apple;NS;poche_obligations;Obligations_credit;Obligations_credit;17/01/2024;08/09/2021;Apple  1.375  01/2024;1.375;1;17/09/2015;;12/09/2016;0.38499999;26/05/2021;;0;0;0
XS1379171140;USA;Finance;8;;Morgan Stanley;;poche_obligations;Obligations_credit;Obligations_credit;11/03/2024;;MS 1.75  11/03/2024;1.75;1;11/03/2016;;20/09/2016;0.904600024;;;;0;0
A10085;;;;;;;Alternatif;private;private;;;;;;;;;;;;;0;0
XS1456422135;USA;Finance;7;;JP Morgan;;poche_obligations;Obligations_credit;Obligations_credit;25/01/2024;25/11/2023;JPM 0.625 01/2024;0.625;1;25/07/2016;;13/09/2016;0.590900004;;;;0;0
